UniProtKB:A0A5G2QJE1	PPEF2
UniProtKB:F1SEJ3	MEOX2
UniProtKB:I3LTW5	I3LTW5
UniProtKB:O46374	TOP2A
UniProtKB:A0A287AYW8	SERPINE2
UniProtKB:F1S586	QTRT1
UniProtKB:A0A480JSC9	CDC42BPB
UniProtKB:A0A287AQ29	BRIP1
UniProtKB:A0A287BNS2	PRPF3
UniProtKB:Q29329	SNRPD2
UniProtKB:A0A287AYV9	SCARA3
UniProtKB:A0A287B1R0	TNNC2
UniProtKB:A0A287AZ72	FHIT
UniProtKB:Q29318	SORD
UniProtKB:Q29315	RPLP2
UniProtKB:A0A286ZQQ5	GET1
UniProtKB:A0A287AYU7	PGAP3
UniProtKB:A0A287B1S7	ZDHHC4
UniProtKB:Q29307	ATP5IF1
UniProtKB:A0A287AYT7	SEC61A1
UniProtKB:A0A287AZ54	PDXP
UniProtKB:A0A287AYT2	C2CD5
UniProtKB:I3LE69	PIWIL2
UniProtKB:A0A286ZQR6	A0A286ZQR6
UniProtKB:Q9MYY8	TXNRD1
UniProtKB:A0A287A8E1	AP1M1
UniProtKB:Q6QAP7	RPS17
UniProtKB:A0A287AYR1	SLC2A10
UniProtKB:A0A287AZ30	GEMIN6
UniProtKB:A0A287B281	SPECC1L
UniProtKB:A0A287AYQ5	CASTOR2
UniProtKB:A0A287AZ22	TOM1
UniProtKB:A0A287B287	AARS2
UniProtKB:F1SEC1	ARID3C
UniProtKB:F1SEC0	DCTN3
UniProtKB:F6QA08	PDIA3
UniProtKB:A0A287AYP8	LPGAT1
UniProtKB:G3FP13	PQBP1
UniProtKB:A0A481CXF3	NPEPL1
UniProtKB:A0A287AZ05	CAVIN4
UniProtKB:F1SEA8	UBAP1
UniProtKB:F1SEA6	TXK
UniProtKB:A0A5G2QIZ9	ACOT7
UniProtKB:A0A5G2QIZ6	TSPOAP1
UniProtKB:A0A5G2QIZ1	DLST
UniProtKB:A0A5G2QIZ0	INSC
UniProtKB:A0A287AYN9	PKN1
UniProtKB:A0A5G2QIY8	SDS
UniProtKB:A0A286ZR60	ELK4
UniProtKB:O62651	WT1
UniProtKB:A0A287AYL9	NSF
UniProtKB:A0A480JRW3	NDUFC2
UniProtKB:A0A287ASW3	CYP19A1
UniProtKB:A0A5G2QWE1	EXOSC1
UniProtKB:A0A5G2QJ76	MAP3K20
UniProtKB:F1SH50	TRIM59
UniProtKB:A0A287AYJ5	GAS6
UniProtKB:Q9MZ16	VDAC1
UniProtKB:Q9MZ15	VDAC2
UniProtKB:A0A5G2QJ67	PMS2
UniProtKB:A0A5G2QIU3	SGPP2
UniProtKB:F1SH67	MDM1
UniProtKB:A0A480JS54	FKBP6
UniProtKB:A0A480JRT2	MON1B
UniProtKB:A0A5G2QJ59	PPP1R14D
UniProtKB:A0A5G2QJ53	NUDT21
UniProtKB:A0A287AYH9	PPT1
UniProtKB:A0A287AYH3	UBQLN1
UniProtKB:Q9MYN5	CDKN3
UniProtKB:A0A5G2QIS7	ROCK1
UniProtKB:A0A5G2QIS6	MRPS31
UniProtKB:A0A5G2QIS3	AAAS
UniProtKB:A0A287AYG1	ACER3
UniProtKB:A0A5G2QIR1	PCYT1A
UniProtKB:A0A5G2QIR0	VPS41
UniProtKB:A0A287AQC2	ARHGDIA
UniProtKB:F1SE87	CHMP5
UniProtKB:F1SDW4	PARG
UniProtKB:A0A5G2QJ21	TXNRD1
UniProtKB:A0A287B2D0	SNAI1
UniProtKB:A0A287AYE2	YTHDC2
UniProtKB:F1SDV5	EMILIN3
UniProtKB:A0A5G2QJ17	SESN1
UniProtKB:F1SE61	GSX2
UniProtKB:A7XUJ6	TRAF6
UniProtKB:A0A287AYC0	EFR3A
UniProtKB:A0A287AYB4	PDGFRA
UniProtKB:F1SE46	LOC100517735
UniProtKB:F1S9I9	MTARC2
UniProtKB:P14610	P14610
UniProtKB:A0A287AYA4	FBXW8
UniProtKB:A0A5G2QIL7	OAS1
UniProtKB:F1SDQ2	DPYSL5
UniProtKB:F1SDQ0	SLC35F6
UniProtKB:P63221	RPS21
UniProtKB:P14632	LTF
UniProtKB:F1SE19	AP3M2
UniProtKB:I3LUQ1	UPF2
UniProtKB:F1SDP0	ABRAXAS2
UniProtKB:A0A5G2QIJ9	KCNS2
UniProtKB:I3LVN4	TFB1M
UniProtKB:F1SE01	GTF2A1
UniProtKB:A0A5G2QII0	DEK
UniProtKB:F1SDN8	ZRANB1
UniProtKB:F1SDN6	CTBP2
UniProtKB:I3LV41	OMA1
UniProtKB:F1SDN3	DRC1
UniProtKB:F1SDN2	HADHB
UniProtKB:A0A5G2QIH5	SLC39A7
UniProtKB:A0A5G2QIH3	DNAH11
UniProtKB:A0A5K1UXY4	OAZ1
UniProtKB:K7GN73	TNFRSF11A
UniProtKB:A0A287B9Z2	CORO1B
UniProtKB:I3LUU8	SNX13
UniProtKB:Q29259	NDUFB6
UniProtKB:A0A5G2QIF0	PIGL
UniProtKB:A0A287B9Y5	POU4F1
UniProtKB:A0A287AR04	PRPS2
UniProtKB:Q9TVC1	ATP6V1H
UniProtKB:Q29243	DAG1
UniProtKB:A0A287B310	STOM
UniProtKB:F1SGG6	KRT5
UniProtKB:A0A287B9X1	FXYD3
UniProtKB:Q29238	CLIC1
UniProtKB:Q29236	CCT6
UniProtKB:A0A287AY88	TRAM1
UniProtKB:A0A287B2Q0	HIF1A
UniProtKB:A0A287B9W3	DYNC1H1
UniProtKB:I3LV91	IQGAP2
UniProtKB:F1SDI2	LOC100524239
UniProtKB:K7GSY7	FUS
UniProtKB:Q02038	NLN
UniProtKB:Q29228	ALDH9A1
UniProtKB:Q29223	RPL34
UniProtKB:A0A287AY77	CNOT2
UniProtKB:A0A287AXV6	ELOVL6
UniProtKB:A0A287B9V5	MAEA
UniProtKB:A0A287AY74	FBP2
UniProtKB:P04404	CHGA
UniProtKB:A0A5G2QIB5	TDRD3
UniProtKB:F1SDG2	MTMR11
UniProtKB:D2XUP7	COX17
UniProtKB:Q29205	RPL11
UniProtKB:F1SDF9	SV2A
UniProtKB:A0A286ZRB9	MAP3K5
UniProtKB:A0A287AR57	EYA4
UniProtKB:A0A287A8T2	SOX7
UniProtKB:A0A287A8T4	PDIA2
UniProtKB:A0A287AY47	RANGRF
UniProtKB:A0A287AY46	XBP1
UniProtKB:A0A287B9S4	PYM1
UniProtKB:K7GT60	CDK6
UniProtKB:F1SDD9	PIAS3
UniProtKB:A0A287AXQ9	UNKL
UniProtKB:A0A287AXQ6	RAB8B
UniProtKB:A0A287AQW9	MARS2
UniProtKB:K7GT46	CTLA4
UniProtKB:Q9TUZ1	STAT5A
UniProtKB:Q9TUZ0	STAT5B
UniProtKB:A0A287AXP9	COLGALT1
UniProtKB:A0A287AXP8	RIC1
UniProtKB:A0A287AY15	SORCS2
UniProtKB:F1SDB8	CHD1L
UniProtKB:A0A5K1V9N9	SYT5
UniProtKB:K7GSR6	NT5E
UniProtKB:A0A287AY00	MYO19
UniProtKB:A5D9P0	RING1
UniProtKB:F1SI10	RPL10L
UniProtKB:A0A287AXN7	UBXN6
UniProtKB:A0A287B9N0	FRS2
UniProtKB:K7GSP7	DLG1
UniProtKB:K7GSP1	SLA-DMA
UniProtKB:K7GNQ0	STMN2
UniProtKB:A0A287B9M9	EIF4G1
UniProtKB:D2IE28	CCNB1
UniProtKB:A0A287AXM6	NOS3
UniProtKB:A5D9N3	AIF1
UniProtKB:A0A481BA38	LPCAT3
UniProtKB:A0A5G2QI91	CDADC1
UniProtKB:A0A287AXL3	CFAP299
UniProtKB:A5D9M6	BAG6
UniProtKB:Q0KKC2	MGAT1
UniProtKB:Q9TV63	MYH2
UniProtKB:Q9TV62	MYH4
UniProtKB:Q9TV61	MYH1
UniProtKB:F1STG6	IL1R2
UniProtKB:A0A287AXK7	DUSP18
UniProtKB:A0A287AXK4	MOB1A
UniProtKB:A0A5K1V9I9	MID2
UniProtKB:A0A287AT21	SORD
UniProtKB:K7GSM4	ARFGEF1
UniProtKB:K7GSM3	TGFBR1
UniProtKB:K7GSM1	LOC100520753
UniProtKB:A0A5G2QI74	BTRC
UniProtKB:A0A5G2QI72	ANKRD11
UniProtKB:A0A5G2QHV1	NAGLU
UniProtKB:Q007T5	ARF6
UniProtKB:K7GSL6	BCL3
UniProtKB:K7GLF2	MCTS1
UniProtKB:A0A5G2QHU0	COPA
UniProtKB:A0A287AXI5	IFI6
UniProtKB:F1SCZ6	MINPP1
UniProtKB:A0A287ATC5	PACSIN3
UniProtKB:A0A287AT30	CNBD2
UniProtKB:K7GSK5	ATF6B
UniProtKB:A0A5G2QI52	CPPED1
UniProtKB:A0A287AXH9	TBXT
UniProtKB:A0A287B9H4	LOC100737755
UniProtKB:F1SCY4	LIPA
UniProtKB:F1SCY2	IFIT3
UniProtKB:Q5MNU5	SCAP
UniProtKB:A0A287A5J3	ATG16L1
UniProtKB:F1RUD8	GMNN
UniProtKB:A0A286ZNW2	B3GNT9
UniProtKB:A0A287A5I9	PRKRA
UniProtKB:F1RUE0	ACOT13
UniProtKB:F1RUE4	GPLD1
UniProtKB:A0A5S8KL28	SRD5A2
UniProtKB:F1S6F7	CDKN2C
UniProtKB:A0A287BL91	MELK
UniProtKB:A0A287BKX0	C1D
UniProtKB:Q0Z8U2	RPS3
UniProtKB:A0A287A5G9	A1CF
UniProtKB:B7TY10	SYN1
UniProtKB:A0A287A5G5	PTGR1
UniProtKB:A0A287A5G3	TMED5
UniProtKB:A0A287A5G2	PAM
UniProtKB:A0A286ZNT2	BCAS3
UniProtKB:P32394	HMOX1
UniProtKB:F1S6H0	KIRREL3
UniProtKB:F1S6H1	RPUSD4
UniProtKB:F1S6H2	ST3GAL4
UniProtKB:F1S6H4	FOXRED1
UniProtKB:F1RUH7	TPMT
UniProtKB:A0A286ZNS2	ME2
UniProtKB:I3L5K3	HSD17B11
UniProtKB:I3L5K2	ATCAY
UniProtKB:A0A286ZYA9	P2RX4
UniProtKB:A0A287BL65	RAB6B
UniProtKB:I3L5J3	LRRTM1
UniProtKB:Q0Z8R0	CST3
UniProtKB:A0A286ZNQ7	PRKAR2B
UniProtKB:A0A287BKT1	PICK1
UniProtKB:A0A287BL45	PLCH1
UniProtKB:A0A286ZYD4	EPB41L5
UniProtKB:P80928	MIF
UniProtKB:A0A287BKR7	GPAT3
UniProtKB:A0A287BKR2	SHMT2
UniProtKB:F1SVD5	SMYD1
UniProtKB:Q6UAQ8	ETFB
UniProtKB:Q52N47	ITM2B
UniProtKB:A0A287BL28	LNPK
UniProtKB:A0A286ZNN4	NDUFS3
UniProtKB:B3VFB6	CALB1
UniProtKB:F1SVC2	ST3GAL5
UniProtKB:A0A287BL15	NEXMIF
UniProtKB:Q5I921	SRY
UniProtKB:B2CCY7	PRPF19
UniProtKB:A0A287BL02	ZFYVE27
UniProtKB:F1S710	CACYBP
UniProtKB:A0A5G2QZZ1	TPCN2
UniProtKB:A0A286ZNK4	YAP1
UniProtKB:A0A286ZNK2	DERL1
UniProtKB:I3L5C2	WNT11
UniProtKB:A0A286ZYI7	FNIP2
UniProtKB:A0A5G2QZY6	RAN
UniProtKB:A0A480NRZ3	LMNA
UniProtKB:F1RV24	FAM20A
UniProtKB:F1RUQ7	CCDC3
UniProtKB:I3L5B0	ADD2
UniProtKB:A0A5G2QZX7	CLCN4
UniProtKB:A0A287BKL1	CLN5
UniProtKB:F1S6S9	PRTN3
UniProtKB:A0A286ZNH3	RIDA
UniProtKB:A0A5G2QZV9	CLIC2
UniProtKB:A0A5G2QZV8	PCLAF
UniProtKB:F1S6T2	ARID3A
UniProtKB:A0A5K1U589	UBA1
UniProtKB:F1RUT4	CTSF
UniProtKB:I3LDF5	GCFC2
UniProtKB:A0A5G2QZU5	STK39
UniProtKB:A0A287A4X2	RNF187
UniProtKB:A0A287BKI9	B3GNT7
UniProtKB:A0A286ZNF3	SLC28A1
UniProtKB:A0A287AK31	THBS3
UniProtKB:A0A286ZYN3	IFI44
UniProtKB:A0A5G2QZT6	DZIP3
UniProtKB:F1SUY1	PDPN
UniProtKB:A0A5K1VKF1	SYTL4
UniProtKB:A0A287A576	NAA20
UniProtKB:A0A287A4V3	SLC35A5
UniProtKB:A0A286ZND9	P14ARF
UniProtKB:F1S6W6	GALNT18
