UniProtKB:F1S5E1	FGFBP1
UniProtKB:A0A287BLV0	ENTPD5
UniProtKB:A0A287BLT3	GALP
UniProtKB:A0A287A6B0	KLK6
UniProtKB:Q52I78	NAMPT
UniProtKB:P00592	PLA2G1B
UniProtKB:A0A287BM29	APOA4
UniProtKB:F6PUF1	BGLAP
UniProtKB:A0A287BLN7	PCSK5
UniProtKB:A0A287A5Z2	SLPI
UniProtKB:Q52NJ1	RAB11A
UniProtKB:I3L5Z3	PRG4
UniProtKB:A0A287A5T9	ENPP1
UniProtKB:P07200	TGFB1
UniProtKB:A0A287BLE9	A0A287BLE9
UniProtKB:F1RI14	FSTL4
UniProtKB:A0A481AED0	SPON2
UniProtKB:A0A286ZWK2	HSPA8
UniProtKB:F1RHL8	SNRNP25
UniProtKB:A0A5G2QSP5	NSUN2
UniProtKB:A0A286ZQ11	CEP131
UniProtKB:A0A5G2RDR7	MAN2A1
UniProtKB:A0A5G2RDQ2	NPNT
UniProtKB:A0A480RK36	LPO
UniProtKB:A0A287BTC6	SPAG11B
UniProtKB:F1RHB4	CXCL14
UniProtKB:A0A286ZQ85	COL3A1
UniProtKB:A0A5G2RDJ5	NPC1
UniProtKB:A0A480TAV6	FAM3C
UniProtKB:A0A5G2RDB4	RSPO2
UniProtKB:P12682	HMGB1
UniProtKB:A0A5G2R5I8	TTR
UniProtKB:F1RGQ1	ADAM15
UniProtKB:P12662	RBP3
UniProtKB:A0A286ZVK1	F11
UniProtKB:P24020	P24020
UniProtKB:A0A286ZVH7	TNFRSF1A
UniProtKB:A0A286ZVG0	PSAP
UniProtKB:A0A5G2R618	RNASE6
UniProtKB:A0A5G2RCU5	NINL
UniProtKB:A0A286ZVB7	DPT
UniProtKB:A0A5G2RD17	TAFA3
UniProtKB:A0A5G2QU88	MMEL1
UniProtKB:A0A5G2RCK9	CXCL11
UniProtKB:Q9TT35	SERPINA7
UniProtKB:A0A287AFW5	TMPRSS11E
UniProtKB:Q29030	KITLG
UniProtKB:Q9TSV8	LTB
UniProtKB:F1RFS6	USB1
UniProtKB:A0A286ZV08	TGFB2
UniProtKB:P50828	HPX
UniProtKB:F1SV69	MMP8
UniProtKB:H6UWK6	OLFML3
UniProtKB:A0A5G2R6P0	SDCBP
UniProtKB:A0A287BRG8	TMEM98
UniProtKB:F1RFE6	OSM
UniProtKB:A0A5G2RBN6	TWSG1
UniProtKB:P49932	PMAP37
UniProtKB:P49923	LPL
UniProtKB:Q711S8	SPP2
UniProtKB:A0A286ZU80	ADGRG1
UniProtKB:F1REZ2	VCAN
UniProtKB:F1REZ1	HAPLN1
UniProtKB:A0A5G2RBB4	TF
UniProtKB:A0A286ZLG5	NBL1
UniProtKB:Q28949	MAN2B2
UniProtKB:A0A5G2QY67	CFAP43
UniProtKB:A0A5G2QY29	JAM3
UniProtKB:A0A287BID4	H2BC21
UniProtKB:P30930	LCAT
UniProtKB:Q2VL90	CD163
UniProtKB:F1SSH0	XPA
UniProtKB:Q9GKY5	GHRL
UniProtKB:A0A287A2E8	MERTK
UniProtKB:A0A287BHU3	LOC100156062
UniProtKB:F6Q2I6	BMP7
UniProtKB:A0A287BHP2	SLC12A3
UniProtKB:I3LGB2	PCSK9
UniProtKB:F1S9Q5	JHY
UniProtKB:A0A286ZKJ6	RSPO3
UniProtKB:P00690	AMY2
UniProtKB:A0A286ZJV6	ANXA2
UniProtKB:A0A287BHK3	NRROS
UniProtKB:P12069	P12069
UniProtKB:F1SRZ3	SCG5
UniProtKB:A0A287BHH5	LGI3
UniProtKB:I3LGI9	GLB1
UniProtKB:A0A286ZKC5	HSP90AB1
UniProtKB:F1SRW6	IHH
UniProtKB:A0A287A259	CDCA8
UniProtKB:A0A287BHC5	SERPINB6
UniProtKB:F6Q1W0	PNLIPRP1
UniProtKB:F1SS26	THBS1
UniProtKB:A0A5G2R8K5	LCN5
UniProtKB:A0A5G2QWJ4	ANG
UniProtKB:O97939	ENAM
UniProtKB:A0A287A1J0	WNT5A
UniProtKB:I3LGX7	SCNN1B
UniProtKB:A0A5G2QWC4	FAM24B
UniProtKB:F1SRD4	GASK1A
UniProtKB:F1SRC8	CLEC3B
UniProtKB:A0A287BH21	LOC100156325
UniProtKB:Q9BEA8	FASLG
UniProtKB:I3LRH5	EPDR1
UniProtKB:A0A5G2QVX8	YBX1
UniProtKB:A0A5G2R7X6	ZPBP2
UniProtKB:A0A5G2R860	MMP2
UniProtKB:F1SR90	SELENOS
UniProtKB:F1RJ01	HMGB2
UniProtKB:B9UJD6	C1QTNF3
UniProtKB:Q28989	AMBN
UniProtKB:Q28985	IGFBP5
UniProtKB:A0A2C9F3B6	MSMB
UniProtKB:A0A2C9F3A0	CCK
UniProtKB:P19756	GHR
UniProtKB:A0A5G2R215	TGFBR3
UniProtKB:I3L8H4	THBS4
UniProtKB:A0A287AA77	ACTG1
