UniProtKB:A0A287AYV9	SCARA3
UniProtKB:A0A480VUW6	TMEM120A
UniProtKB:A0A287AZ72	FHIT
UniProtKB:A0A5G2QJB9	A0A5G2QJB9
UniProtKB:A0A5G2QJB5	MRAS
UniProtKB:Q29318	SORD
UniProtKB:A0A286ZQQ5	GET1
UniProtKB:A0A287AYU8	CD300LF
UniProtKB:A0A287AYU7	PGAP3
UniProtKB:A0A287AZ66	ITGB5
UniProtKB:A0A287AZ62	LOC100739741
UniProtKB:A0A287B1S7	ZDHHC4
UniProtKB:A0A287AZ59	LOC100514786
UniProtKB:A0A287AYT7	SEC61A1
UniProtKB:A0A287AYT6	ZDHHC14
UniProtKB:A0A287AYT5	LOC100513603
UniProtKB:A0A287AZ54	PDXP
UniProtKB:A0A287AYT3	PTAFR
UniProtKB:A0A287AYT2	C2CD5
UniProtKB:Q9MYZ9	EPOR
UniProtKB:A0A287AYS5	GJA8
UniProtKB:A0A287AZ44	KLRB1
UniProtKB:A0A5K1UZ28	PYY
UniProtKB:A0A5G2Q870	A0A5G2Q870
UniProtKB:A0A287A8E1	AP1M1
UniProtKB:A0A5G2Q878	SIGLEC15
UniProtKB:Q6QAP7	RPS17
UniProtKB:A0A287AZ34	LRFN1
UniProtKB:A0A287AYR1	SLC2A10
UniProtKB:A0A287AZ30	GEMIN6
UniProtKB:F1SED3	ABHD1
UniProtKB:Q9MYX7	CTLA4
UniProtKB:A0A286ZR45	ADD1
UniProtKB:A0A287AYQ3	LRRC70
UniProtKB:P35054	TGFBR3
UniProtKB:F6QA08	PDIA3
UniProtKB:A0A5G2QWB9	A0A5G2QWB9
UniProtKB:A0A287AYP8	LPGAT1
UniProtKB:F1SEB5	CNTFR
UniProtKB:F1SEA8	UBAP1
UniProtKB:A0A286ZQT8	LOC100620101
UniProtKB:F1SEA6	TXK
UniProtKB:F1SH09	NLGN1
UniProtKB:F1SEA4	TEC
UniProtKB:F1SEA0	SLC10A4
UniProtKB:Q9MYU4	ENTPD1
UniProtKB:A0A5G2QIZ8	LOC110259022
UniProtKB:A0A5G2QIZ2	A0A5G2QIZ2
UniProtKB:A0A5G2QIZ0	INSC
UniProtKB:A0A287AYN9	PKN1
UniProtKB:A0A287AYN5	A0A287AYN5
UniProtKB:A0A287AYM9	MRGPRF
UniProtKB:A0A287AYM0	LOC100518077
UniProtKB:F1SFR8	LRIG1
UniProtKB:A0A5G2QJ93	A0A5G2QJ93
UniProtKB:A0A287AYL9	NSF
UniProtKB:A0A287AYL3	A0A287AYL3
UniProtKB:A0A480JRW3	NDUFC2
UniProtKB:O62667	SLC28A1
UniProtKB:A0A5G2QIW4	A0A5G2QIW4
UniProtKB:A0A5G2QJ81	OR8B12
UniProtKB:A0A287AYK9	SERTM1
UniProtKB:A0A287AYK8	LOC106509347
UniProtKB:A0A287ASW3	CYP19A1
UniProtKB:Q00968	EGF
UniProtKB:A0A5G2QJ74	FAM3A
UniProtKB:F1SH50	TRIM59
UniProtKB:Q4G1G8	CH25H
