Gene stable ID	Gene name
ENSSSCG00000040445	RND3
ENSSSCG00000009237	HPSE
ENSSSCG00000001695	VEGFA
ENSSSCG00000005438	ACTL7B
ENSSSCG00000039363	
ENSSSCG00000009285	
ENSSSCG00000049913	
ENSSSCG00000024008	OR10J1
ENSSSCG00000028877	RAD51B
ENSSSCG00000015255	IGSF9B
ENSSSCG00000000546	MANSC4
ENSSSCG00000044440	IFN-ALPHA-4
ENSSSCG00000005440	
ENSSSCG00000014075	NSA2
ENSSSCG00000023653	GLIS2
ENSSSCG00000003669	MFSD2A
ENSSSCG00000029064	OR10J4
ENSSSCG00000025108	G6PD
ENSSSCG00000012671	OR13H1
ENSSSCG00000013120	
ENSSSCG00000003368	RNF207
ENSSSCG00000022538	MARK4
ENSSSCG00000030610	FNBP4
ENSSSCG00000028646	MMADHC
ENSSSCG00000000547	MRPS35
ENSSSCG00000009822	FAM216A
ENSSSCG00000035080	
ENSSSCG00000002670	USP10
ENSSSCG00000028786	
ENSSSCG00000050014	MRPS16
ENSSSCG00000032768	
ENSSSCG00000004114	RAB32
ENSSSCG00000028202	RANGAP1
ENSSSCG00000033910	IFN-OMEGA-2
ENSSSCG00000038650	TLCD1
ENSSSCG00000003672	CAP1
ENSSSCG00000011641	SLCO2A1
ENSSSCG00000042631	
ENSSSCG00000005152	IFN-DELTA-1
ENSSSCG00000031308	
ENSSSCG00000028304	ZFP36L1
ENSSSCG00000050706	
ENSSSCG00000009823	VPS29
ENSSSCG00000003370	HES3
ENSSSCG00000003949	CDC20
ENSSSCG00000034642	
ENSSSCG00000023482	DNAJC9
ENSSSCG00000009238	COQ2
ENSSSCG00000013949	
ENSSSCG00000040599	TBC1D25
ENSSSCG00000011943	BBX
ENSSSCG00000017766	NEK8
ENSSSCG00000014076	FAM169A
ENSSSCG00000005441	ELP1
ENSSSCG00000034940	IFN-DELTA-9
ENSSSCG00000044037	
ENSSSCG00000015677	LYPD6B
ENSSSCG00000008829	OCIAD2
ENSSSCG00000006384	NHLH1
ENSSSCG00000003371	GPR153
ENSSSCG00000017311	MAPT
ENSSSCG00000009293	
ENSSSCG00000012600	AGTR2
ENSSSCG00000040215	TFAP4
ENSSSCG00000021591	RBM3
ENSSSCG00000006000	TAF2
ENSSSCG00000034424	
ENSSSCG00000009239	
ENSSSCG00000036673	PPT1
ENSSSCG00000016614	PTPRZ1
ENSSSCG00000009824	RAD9B
ENSSSCG00000012825	IKBKG
ENSSSCG00000039330	ANO8
ENSSSCG00000015256	JAM3
ENSSSCG00000038506	
ENSSSCG00000038285	KLHL36
ENSSSCG00000040873	
ENSSSCG00000006625	RFX5
ENSSSCG00000030906	MPL
ENSSSCG00000040838	AGBL2
ENSSSCG00000007949	SRL
ENSSSCG00000046430	
ENSSSCG00000029710	GCNT4
ENSSSCG00000032658	TRAF4
ENSSSCG00000010298	CFAP70
ENSSSCG00000000549	PPFIBP1
ENSSSCG00000000067	CHADL
ENSSSCG00000009825	PPTC7
ENSSSCG00000036702	ACTN1
ENSSSCG00000037399	
ENSSSCG00000022919	KIF5C
ENSSSCG00000049914	
ENSSSCG00000041975	
ENSSSCG00000022678	AMER2
